psych_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value
0.2.1+,2017-01-20,12:02:56,1,0,0.0061175610608188435,pilot,0003,0.2.2,instructions,,,,
0.2.1+,2017-01-20,12:02:56,1,0,203.6453995558793,pilot,0003,0.2.2,instructions,,,,
0.2.1+,2017-01-20,12:02:56,2,0,212.22897205986897,pilot,0003,0.2.2,practice_start,,,,
0.2.1+,2017-01-20,12:02:56,2,0,212.30209712775695,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,213.04023597854598,pilot,0003,0.2.2,high_latency,,,,0.06563885078901421
0.2.1+,2017-01-20,12:02:56,2,0,213.17122841869082,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,213.86225281224483,pilot,0003,0.2.2,high_latency,,,,0.018524393554002927
0.2.1+,2017-01-20,12:02:56,2,0,213.86352433439674,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,214.557273092453,pilot,0003,0.2.2,high_latency,,,,0.021248758056231054
0.2.1+,2017-01-20,12:02:56,2,0,214.55852836420968,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,215.24628557304163,pilot,0003,0.2.2,high_latency,,,,0.015257208831940261
0.2.1+,2017-01-20,12:02:56,2,0,215.24749922097863,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,215.93562534229181,pilot,0003,0.2.2,high_latency,,,,0.015626121313175645
0.2.1+,2017-01-20,12:02:56,2,0,215.9374924271733,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,216.62632643850907,pilot,0003,0.2.2,high_latency,,,,0.016334011335743526
0.2.1+,2017-01-20,12:02:56,2,0,216.6276239042743,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,217.31934563934897,pilot,0003,0.2.2,high_latency,,,,0.019221735074665958
0.2.1+,2017-01-20,12:02:56,2,0,217.32059064769805,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,218.01336352675753,pilot,0003,0.2.2,high_latency,,,,0.020272879059461957
0.2.1+,2017-01-20,12:02:56,2,0,218.0146173730409,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,218.70338296166028,pilot,0003,0.2.2,high_latency,,,,0.016265588619376103
0.2.1+,2017-01-20,12:02:56,2,0,218.7046006009225,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,219.39942758695588,pilot,0003,0.2.2,high_latency,,,,0.022326986033363028
0.2.1+,2017-01-20,12:02:56,2,0,219.40068114814449,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,220.10242481555088,pilot,0003,0.2.2,high_latency,,,,0.029243667406376517
0.2.1+,2017-01-20,12:02:56,2,0,220.1037308341556,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,220.79244168460127,pilot,0003,0.2.2,high_latency,,,,0.01621085044564552
0.2.1+,2017-01-20,12:02:56,2,0,220.7936784252056,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,221.48646128257815,pilot,0003,0.2.2,high_latency,,,,0.020282857372535545
0.2.1+,2017-01-20,12:02:56,2,0,221.48770857168438,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,222.19148268320828,pilot,0003,0.2.2,high_latency,,,,0.03127411152388504
0.2.1+,2017-01-20,12:02:56,2,0,222.1927402357221,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,222.88048376001097,pilot,0003,0.2.2,high_latency,,,,0.015243524288848675
0.2.1+,2017-01-20,12:02:56,2,0,222.8822921153935,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,223.5755279881696,pilot,0003,0.2.2,high_latency,,,,0.02073587277607203
0.2.1+,2017-01-20,12:02:56,2,0,223.5767658691525,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,224.26753766884372,pilot,0003,0.2.2,high_latency,,,,0.01827179969120607
0.2.1+,2017-01-20,12:02:56,2,0,224.26876984793307,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,224.95655528113616,pilot,0003,0.2.2,high_latency,,,,0.015285433203075627
0.2.1+,2017-01-20,12:02:56,2,0,224.9577826136167,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,225.64346233771357,pilot,0003,0.2.2,high_latency,,,,0.013179724096858081
0.2.1+,2017-01-20,12:02:56,2,0,225.64535194507266,pilot,0003,0.2.2,stimulus,w2nw,normal,example,
0.2.1+,2017-01-20,12:02:56,2,0,226.3365961466036,pilot,0003,0.2.2,high_latency,,,,0.0187442015309216
0.2.1+,2017-01-20,12:02:56,3,0,226.33786880913385,pilot,0003,0.2.2,instructions,,,,
0.2.1+,2017-01-20,12:02:56,3,0,232.82587558982527,pilot,0003,0.2.2,instructions,,,,
0.2.1+,2017-01-20,12:02:56,3,0,240.9643568963113,pilot,0003,0.2.2,instructions,,,,
0.2.1+,2017-01-20,12:02:56,4,0,256.1069546844901,pilot,0003,0.2.2,practice_start,,,,
0.2.1+,2017-01-20,12:02:56,4,0,256.26816316651184,pilot,0003,0.2.2,stimulus,w2nw,normal,practice,
0.2.1+,2017-01-20,12:02:56,4,0,256.94067351330955,pilot,0003,0.2.2,stimulus,w2nw,normal,practice,
